Timestamp,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Asset Volume,Taker Quote Asset Volume
1587532080000,15.1547,15.1605,15.1428,15.148,3111.38,47147.656158,39.0,2646.18,40099.503983999995
1587532140000,15.1493,15.1503,15.144,15.1503,263.43,3990.169725,9.0,148.84,2254.809365
1587532200000,15.149000000000001,15.1518,15.1391,15.1486,3921.77,59389.68151900001,30.0,3290.61,49831.105434
1587532260000,15.1443,15.1485,15.1413,15.1427,779.2,11799.789025,16.0,483.5,7321.583718000001
1587532320000,15.1427,15.1466,15.1411,15.1421,974.51,14758.202288999999,15.0,873.11,13222.741177
1587532380000,15.142999999999999,15.1596,15.1428,15.1596,1807.64,27388.860145,35.0,1605.7,24329.18136100001
1587532440000,15.1596,15.1596,15.1538,15.1571,3184.25,48256.400359,24.0,2432.51,36864.024164999995
1587532500000,15.1558,15.1657,15.1498,15.1507,3951.85,59891.82334600001,31.0,3465.89,52527.441005
1587532560000,15.1503,15.1649,15.1503,15.1604,150.99,2289.129222,15.0,15.72,238.379731
1587532620000,15.1608,15.163,15.1561,15.1561,93.64,1419.360942,13.0,46.78,709.054408
1587532680000,15.1591,15.1591,15.148,15.1542,876.52,13281.71513,37.0,290.75,4406.395767
1587532740000,15.1517,15.1612,15.1503,15.1612,3835.43,58110.457533,15.0,3585.92,54328.966032000004
1587532800000,15.1612,15.1668,15.1602,15.1666,1618.56,24545.162331,23.0,1019.22,15456.900387
1587532860000,15.1702,15.1709,15.1643,15.1688,3281.91,49771.660073,41.0,3221.5,48855.537051
1587532920000,15.1655,15.1692,15.165,15.165,1062.01,16106.405100999998,13.0,195.43,2964.510953
1587532980000,15.1678,15.1707,15.1534,15.1563,1457.75,22108.228993,41.0,794.77,12056.19352
1587533040000,15.1584,15.1654,15.1555,15.1595,952.92,14445.12864,38.0,491.75,7455.092183
1587533100000,15.1575,15.1702,15.1575,15.1659,1134.14,17193.537426,32.0,165.96,2516.263382
1587533160000,15.1626,15.1707,15.1626,15.17,406.93,6172.393971,12.0,257.32,3903.560889
1587533220000,15.1687,15.1853,15.1687,15.1853,2248.53,34123.973,46.0,1706.89,25903.88073600001
1587533280000,15.182,15.185,15.1794,15.181,2120.73,32196.410092000002,25.0,1611.88,24471.543228
1587533340000,15.181,15.1827,15.16,15.1736,2956.36,44847.256001,70.0,1081.82,16407.657839
1587533400000,15.1736,15.1853,15.1681,15.1853,1800.39,27321.487454000002,47.0,1549.09,23508.399827
1587533460000,15.187000000000001,15.1892,15.1801,15.1861,423.19,6425.446666,22.0,59.77,907.8200390000001
1587533520000,15.1861,15.2014,15.1769,15.2014,4067.68,61768.702398,59.0,3237.49,49155.175075
1587533580000,15.2014,15.2128,15.2,15.2128,3343.84,50836.511525,58.0,2170.52,32997.315784
1587533640000,15.2132,15.2179,15.2079,15.2141,989.59,15056.818904,41.0,788.47,11997.169941
